Price,Original Price,Rating,Reviews,Skin Type,Country of Origin,Benefits,Discount (%)
488,595.0,3.9,101.0,2,0,14,17.98
281,330.0,4.4,191.0,2,0,14,14.85
515,599.0,4.1,133.0,2,0,14,14.02
521,599.0,4.3,159.0,2,0,14,13.02
307,349.0,4.2,490.0,6,0,14,12.03
339,399.0,4.2,30.0,12,0,14,15.04
257,399.0,4.3,114.0,2,0,14,35.59
1035,1150.0,4.3,460.0,12,0,7,10.0
214,330.0,4.2,3741.0,12,0,14,35.15
175,199.0,4.6,200.0,12,0,14,12.06
300,349.0,4.3,587.0,12,0,14,14.04
295,399.0,4.8,168.0,2,0,14,26.07
569,599.0,4.2,442.0,11,0,14,5.01
601,699.0,4.6,49.0,2,0,14,14.02
356,445.0,4.1,172.0,12,0,14,20.0
569,599.0,4.2,313.0,2,0,14,5.01
245,375.0,4.6,207.0,12,0,14,34.67
1055,1199.0,3.9,249.0,2,0,14,12.01
133,140.0,4.4,1517.0,12,0,14,5.0
161,299.0,4.4,164.0,2,0,14,46.15
426,495.0,4.0,94.0,12,0,14,13.94
309,475.0,4.2,40.0,12,0,14,34.95
286,349.0,3.9,18.0,7,0,3,18.05
649,999.0,4.3,438.0,2,2,14,35.04
379,499.0,4.2,52.0,2,0,14,24.05
383,450.0,4.2,270.0,2,0,14,14.89
488,650.0,4.4,370.0,2,0,14,24.92
351,399.0,4.5,42.0,2,0,14,12.03
479,599.0,4.2,280.0,2,0,14,20.03
286,349.0,3.9,123.0,12,0,14,18.05
174,260.0,4.0,1024.0,12,0,14,33.08
307,349.0,4.0,122.0,5,0,14,12.03
440,550.0,4.4,693.0,12,0,14,20.0
324,499.0,4.1,619.0,12,0,14,35.07
339,399.0,4.2,254.0,12,0,14,15.04
220,275.0,4.5,211.0,12,0,14,20.0
274,449.0,4.2,455.0,2,0,14,38.98
254,299.0,4.2,89.0,12,0,14,15.05
280,535.0,4.7,140.0,12,0,14,47.66
237,325.0,4.2,544.0,12,0,14,27.08
199,270.0,4.3,792.0,12,0,14,26.3
573,699.0,3.9,64.0,2,0,10,18.03
386,495.0,4.7,82.0,2,0,14,22.02
183,299.0,4.5,38.0,2,0,14,38.8
479,599.0,4.4,389.0,12,3,14,20.03
274,319.0,4.3,274.0,12,0,14,14.11
274,319.0,4.2,462.0,12,0,14,14.11
163,250.0,4.2,280.0,3,0,14,34.8
217,275.0,4.2,3558.0,12,0,14,21.09
386,495.0,4.4,357.0,2,0,14,22.02
107,165.0,4.2,2759.0,12,0,14,35.15
347,399.0,4.4,9.0,2,0,14,13.03
250,312.0,4.3,690.0,2,0,12,19.87
569,599.0,4.4,291.0,2,0,14,5.01
682,1049.0,4.5,237.0,2,1,14,34.99
468,550.0,4.1,108.0,12,0,14,14.91
426,495.0,4.3,690.0,2,0,8,13.94
321,349.0,3.8,11.0,2,0,14,8.02
465,749.0,4.6,139.0,12,0,14,37.92
286,349.0,4.4,40.0,12,0,14,18.05
274,319.0,4.3,320.0,12,0,14,14.11
165,349.0,4.2,181.0,12,0,14,20.035
